id,name,nric,dob,address,phone,email,employment,income,referral_source,area_of_law,status,notes
1001,Suresh Kumar,T5145061H,1970-12-04,Blk 477 Woodlands Dr 50 #17-091,84160583,suresh.kumar@example.com,Retired,"$3,200",Walk-in,Tenancy,Closed,"Eviction notice, 1 week given. Family with young children."
1002,Iskandar Salleh,S4940326A,1996-10-04,Blk 150 Ang Mo Kio Ave 3 #16-133,81160645,iskandar.salleh@example.com,Student,2600,Walk-in,Employment,Closed,"Injured at work, no MC paid. Small firm, no HR."
1003,Jia Hao Lee,T5972979I,1979-03-21,Blk 234 Jurong West St 52 #09-098,83658781,jia.lee@example.com,Part-time,"$3,200",,Employment,Closed,Salary unpaid for two months. Employer not responding.
1004,Iskandar Salleh,S1108436G,1981-10-16,Blk 180 Hougang Ave 8 #04-065,84831854,iskandar.salleh@example.com,Retired,"$3,200",Previous client,Wills and probate,Closed,"Father passed, no will, HDB flat, siblings disagree."
1005,Pei Shan Sim,T3002458A,1963-02-12,Blk 462 Tampines St 41 #18-300,83354635,pei.sim@example.com,Student,0,Previous client,Neighbour disputes,Closed,Dispute over shared wall renovation.
1006,Suresh Kumar,S7145211C,1989-06-24,Blk 133 Woodlands Dr 50 #12-181,82424835,suresh.kumar@example.com,Part-time,1500,Friend,Unassigned,Open,"Walk-in, complex family matter, referred elsewhere?"
1007,Chin Hock Teo,T6909111I,1971-07-24,Blk 595 Clementi Ave 4 #16-237,82405632,chin.teo@example.com,Student,about 2k,Friend,Wills and probate,Open,"Executor of aunt's estate, unsure of duties."
1008,Kok Wai Wong,T9740542B,6-Sep-67,Blk 351 Toa Payoh Lor 1 #16-256,85051424,kok.wong@example.com,Unemployed,2600,Google,Employment,Open,Salary unpaid for two months. Employer not responding.
1009,Anand Rajan,S2275014I,1962-08-16,Blk 220 Yishun Ring Rd #14-267,89285853,anand.rajan@example.com,Part-time,3800,Facebook,Wills and probate,Closed,"Executor of aunt's estate, unsure of duties."
1010,Meena Subramaniam,T9549026C,25-Jan-67,Blk 244 Woodlands Dr 50 #06-025,82934494,meena.subramaniam@example.com,Retired,4200,,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1011,Anand Rajan,T2078023F,,Blk 513 Jurong West St 52 #07-202,84756801,anand.rajan@example.com,Employed,3200,MP meet-the-people,Employment,Open,Salary unpaid for two months. Employer not responding.
1012,Anand Rajan,T7531133E,,Blk 329 Dover Rd #02-179,89467783,anand.rajan@example.com,Employed,3000,Previous client,Small claims,Open,"Online purchase never delivered, seller unreachable."
1013,Yong Sheng Chua,T0285272B,27/9/2001,Blk 451 Clementi Ave 4 #20-045,84714713,yong.chua@example.com,Retired,"$2,500",Google,Wills and probate,Closed,Needs LPA for elderly mother with dementia.
1014,Ravi Das,T2884973E,1989-02-17,Blk 387 Bishan St 12 #19-023,89657341,ravi.das@example.com,Retired,"$3,200",Walk-in,Tenancy,Closed,Landlord withholding deposit. Verbal tenancy only.
1015,Hui Ling Lim,T4377256C,1988-06-04,Blk 633 Bishan St 12 #10-067,81382284,hui.lim@example.com,Employed,2200,Previous client,Employment,Closed,Dismissed after raising a safety complaint. Has messages.
1016,Kok Wai Wong,S7918943B,13/1/1982,Blk 543 Jurong West St 52 #07-276,84427018,kok.wong@example.com,Part-time,"$1,800",MP meet-the-people,Neighbour disputes,Closed,"Smoking at corridor, children asthmatic."
1017,Nurul Ibrahim,S5953331I,1970-03-24,Blk 398 Telok Blangah Cres #15-216,83113984,nurul.ibrahim@example.com,Self-employed,0,Facebook,Tenancy,Open,Landlord withholding deposit. Verbal tenancy only.
1018,Zhi Hao Koh,T8317100C,19/9/1994,Blk 195 Commonwealth Dr #05-105,83893929,zhi.koh@example.com,Self-employed,,Google,Wills and probate,Open,"Father passed, no will, HDB flat, siblings disagree."
1019,Nurul Ibrahim,T6768563A,21/1/1978,Blk 206 Commonwealth Dr #15-233,87032551,nurul.ibrahim@example.com,Part-time,2200,Google,Unassigned,Closed,"Immigration question - out of scope, note for records."
1020,Marcus DCruz,T9938954F,24-Dec-62,Blk 416 Commonwealth Dr #12-276,87205356,marcus.dcruz@example.com,Retired,n/a,,Neighbour disputes,Closed,"Smoking at corridor, children asthmatic."
1021,Xin Yi Yeo,S5903445H,1997-07-19,Blk 79 Yishun Ring Rd #18-255,84577216,xin.yeo@example.com,Part-time,3200,Google,Neighbour disputes,Closed,"Noise from upstairs unit, nightly, HDB."
1022,Aishah Rahman,S3601444E,1990-09-17,Blk 534 Jurong West St 52 #05-228,82278356,aishah.rahman@example.com,Student,"$1,800",,Neighbour disputes,Closed,Dispute over shared wall renovation.
1023,Mei Ling Goh,T8990676G,1988-07-20,Blk 544 Dover Rd #17-139,85756818,mei.goh@example.com,Part-time,unknown,Community centre,Tenancy,Open,Landlord withholding deposit. Verbal tenancy only.
1024,Jia Hao Lee,T0560951H,1982-12-16,Blk 250 Bishan St 12 #18-051,88857615,jia.lee@example.com,Self-employed,,,Consumer debt,Closed,"Credit card debt, harassment calls to workplace."
1025,Shu Fen Ng,S0582157I,15/7/1997,Blk 655 Jurong West St 52 #15-187,89904780,shu.ng@example.com,Self-employed,,Google,Employment,Closed,Salary unpaid for two months. Employer not responding.
1026,Shu Fen Ng,T4499934H,,Blk 201 Toa Payoh Lor 1 #03-032,81158977,shu.ng@example.com,Unemployed,0,,Consumer debt,Closed,=1+1
1027,Nurul Ibrahim,S8357753F,1976-08-24,Blk 77 Woodlands Dr 50 #05-230,84576309,nurul.ibrahim@example.com,Retired,2600,,Consumer debt,Closed,"Renovation contractor took deposit, work not done."
1028,Siti Hassan,T8265917E,1960-09-03,Blk 582 Clementi Ave 4 #16-154,81155904,siti.hassan@example.com,Employed,1500,Facebook,Employment,Open,Claims constructive dismissal. Wants to know options.
1029,Kok Wai Wong,T5157994C,1988-05-15,Blk 410 Hougang Ave 8 #18-128,82414103,kok.wong@example.com,Unemployed,about 2k,Facebook,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1030,Iskandar Salleh,T8299221C,8/1/1973,Blk 558 Commonwealth Dr #20-152,81374806,iskandar.salleh@example.com,Part-time,n/a,Facebook,Neighbour disputes,Closed,"Noise from upstairs unit, nightly, HDB."
1031,Suresh Kumar,T1510216H,16-Apr-00,Blk 535 Tampines St 41 #16-202,86879414,suresh.kumar@example.com,Unemployed,unknown,Google,Neighbour disputes,Closed,"Smoking at corridor, children asthmatic."
1032,Ravi Das,T5061780B,1-Dec-78,Blk 432 Yishun Ring Rd #06-126,83722157,ravi.das@example.com,Part-time,1800,Friend,Neighbour disputes,Closed,"Shared corridor blocked with items, fire hazard."
1033,Farah Karim,T4142207J,1992-08-26,Blk 112 Ang Mo Kio Ave 3 #07-184,84646768,farah.karim@example.com,Student,3800,Friend,Consumer debt,Closed,"Guarantor for a friend's loan, friend defaulted."
1034,Danial Latiff,T8874765B,1960-08-28,Blk 51 Ang Mo Kio Ave 3 #06-198,89851427,danial.latiff@example.com,Student,about 2k,Community centre,Employment,Closed,Salary unpaid for two months. Employer not responding.
1035,Li Ying Ong,S6926252F,21/3/1988,Blk 635 Dover Rd #18-274,81888207,li.ong@example.com,Self-employed,"$1,800",MP meet-the-people,Wills and probate,Open,"Father passed, no will, HDB flat, siblings disagree."
1036,Kavitha Menon,S7719884J,7-Jul-67,Blk 94 Woodlands Dr 50 #16-107,81624480,kavitha.menon@example.com,Student,3800,Family Service Centre,Wills and probate,Closed,Needs LPA for elderly mother with dementia.
1037,Suresh Kumar,S8471512Z,22/7/1997,Blk 125 Toa Payoh Lor 1 #16-007,87327136,suresh.kumar@example.com,Part-time,~3000,Previous client,Tenancy,Open,"Rental arrears dispute, landlord changed the lock."
1038,Mei Ling Goh,S4684568Z,1971-04-07,Blk 113 Tampines St 41 #11-141,88882254,mei.goh@example.com,Part-time,"$2,500",Walk-in,Neighbour disputes,Open,Dispute over shared wall renovation.
1039,Zhi Hao Koh,S2360791Z,,Blk 445 Yishun Ring Rd #04-175,88164084,zhi.koh@example.com,Student,2200,,Small claims,Closed,"Deposit for wedding photography, vendor closed down."
1040,Iskandar Salleh,S6953980F,1976-04-11,Blk 452 Telok Blangah Cres #19-194,84437363,iskandar.salleh@example.com,Student,2600,Previous client,Consumer debt,Open,"Loan from licensed moneylender, disputes amount owed."
1041,Mei Ling Goh,S5988293B,,Blk 581 Bishan St 12 #08-043,83286323,mei.goh@example.com,Self-employed,3200,Family Service Centre,Tenancy,Closed,"Client seemed evasive, possibly not telling us everything. Husband is the one who called - check for conflict."
1042,Iskandar Salleh,S3988818G,1965-12-27,Blk 150 Telok Blangah Cres #02-148,87100763,iskandar.salleh@example.com,Self-employed,unknown,MP meet-the-people,Tenancy,Open,Ex-employer is [named firm]. One of our volunteers works there - do not assign to them.
1043,[withheld] matter 1043,T4120905G,5/1/1984,Blk 122 Jurong West St 52 #14-089,86641208,vijay.iyer@example.com,Student,2200,,Tenancy,Open,SENSITIVE: client is a relative of a Centre volunteer. Conflict flagged. Restrict access.
1044,[withheld] matter 1044,T2118073Z,16-May-03,Blk 475 Hougang Ave 8 #15-223,82969126,meena.subramaniam@example.com,Student,4200,,Tenancy,Open,SENSITIVE: client is a relative of a Centre volunteer. Conflict flagged. Restrict access.
1045,[withheld] matter 1045,S3850400J,1970-02-28,Blk 515 Yishun Ring Rd #03-244,82767867,aishah.rahman@example.com,Student,,Friend,Tenancy,Open,SENSITIVE: client is a relative of a Centre volunteer. Conflict flagged. Restrict access.
1046,[withheld] matter 1046,S7916999G,4-Mar-88,Blk 590 Clementi Ave 4 #02-152,85092476,suresh.kumar@example.com,Part-time,3000,Facebook,Tenancy,Open,SENSITIVE: client is a relative of a Centre volunteer. Conflict flagged. Restrict access.
1047,Zhi Hao Koh,S0407545C,1964-08-07,Blk 61 Ang Mo Kio Ave 3 #12-182,88927062,zhi.koh@example.com,Employed,4200,,Neighbour disputes,Closed,"Smoking at corridor, children asthmatic."
